Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Oct 24, 2019",243.58,244.66,244.75,241.81,17.92M
"Oct 23, 2019",243.18,242.1,243.24,241.22,19.93M
"Oct 22, 2019",239.96,241.16,242.2,239.62,22.68M
"Oct 21, 2019",240.51,237.52,240.99,237.32,22.37M
"Oct 18, 2019",236.41,234.59,237.58,234.29,24.38M
"Oct 17, 2019",235.28,235.09,236.15,233.52,17.27M
"Oct 16, 2019",234.37,233.37,235.24,233.2,19.29M
"Oct 15, 2019",235.32,236.39,237.65,234.88,23.04M
"Oct 14, 2019",235.87,234.9,238.13,234.67,24.41M
"Oct 11, 2019",236.21,232.95,237.64,232.31,41.99M
"Oct 10, 2019",230.09,227.93,230.44,227.3,28.96M
"Oct 09, 2019",227.03,227.03,227.79,225.64,19.03M
"Oct 08, 2019",224.4,225.82,228.06,224.33,29.28M
"Oct 07, 2019",227.06,226.27,229.93,225.84,30.89M
"Oct 04, 2019",227.01,225.64,227.49,223.89,34.76M
"Oct 03, 2019",220.82,218.43,220.96,215.13,30.35M
"Oct 02, 2019",218.96,223.06,223.58,217.93,35.77M
"Oct 01, 2019",224.59,225.07,228.22,224.2,36.19M
"Sep 30, 2019",223.97,220.9,224.58,220.79,26.32M
"Sep 27, 2019",218.82,220.54,220.96,217.28,25.36M
"Sep 26, 2019",219.89,220.0,220.94,218.83,19.09M
"Sep 25, 2019",221.03,218.55,221.5,217.14,22.48M
"Sep 24, 2019",217.68,221.03,222.49,217.19,31.43M
"Sep 23, 2019",218.72,218.95,219.84,217.65,19.42M
"Sep 20, 2019",217.73,221.38,222.56,217.47,57.98M
"Sep 19, 2019",220.96,222.01,223.76,220.37,22.19M
"Sep 18, 2019",222.77,221.06,222.85,219.44,25.64M
"Sep 17, 2019",220.7,219.96,220.82,219.12,18.39M
"Sep 16, 2019",219.9,217.73,220.13,217.56,21.16M
"Sep 13, 2019",218.75,220.0,220.79,217.02,39.76M
"Sep 12, 2019",223.09,224.8,226.42,222.86,32.23M
"Sep 11, 2019",223.59,218.07,223.71,217.73,44.29M
"Sep 10, 2019",216.7,213.86,216.78,211.71,31.78M
"Sep 09, 2019",214.17,214.84,216.44,211.07,27.31M
"Sep 06, 2019",213.26,214.05,214.42,212.51,19.36M
"Sep 05, 2019",213.28,212.0,213.97,211.51,23.95M
"Sep 04, 2019",209.19,208.39,209.48,207.32,19.22M
"Sep 03, 2019",205.7,206.43,206.98,204.22,20.06M
"Aug 30, 2019",208.74,210.16,210.45,207.2,21.16M
"Aug 29, 2019",209.01,208.5,209.32,206.66,21.01M
"Aug 28, 2019",205.53,204.1,205.72,203.32,15.96M
"Aug 27, 2019",204.16,207.86,208.55,203.53,25.90M
"Aug 26, 2019",206.49,205.86,207.19,205.06,26.07M
"Aug 23, 2019",202.64,209.43,212.05,201.0,46.88M
"Aug 22, 2019",212.46,213.19,214.44,210.75,22.27M
"Aug 21, 2019",212.64,212.99,213.65,211.6,21.56M
"Aug 20, 2019",210.36,210.88,213.35,210.32,26.92M
"Aug 19, 2019",210.35,210.62,212.73,210.03,24.43M
"Aug 16, 2019",206.5,204.28,207.16,203.84,28.81M
"Aug 15, 2019",201.74,203.46,205.14,199.67,27.88M
"Aug 14, 2019",202.75,203.16,206.44,202.59,36.55M
"Aug 13, 2019",208.97,201.02,212.14,200.83,47.54M
"Aug 12, 2019",200.48,199.62,202.05,199.15,22.48M
"Aug 09, 2019",200.99,201.3,202.76,199.29,24.62M
"Aug 08, 2019",203.43,200.2,203.53,199.39,27.01M
"Aug 07, 2019",199.04,195.41,199.56,193.82,33.36M
"Aug 06, 2019",197.0,196.31,198.07,194.04,35.82M
"Aug 05, 2019",193.34,197.99,198.65,192.58,52.39M
"Aug 02, 2019",204.02,205.53,206.43,201.63,40.86M
"Aug 01, 2019",208.43,213.9,218.03,206.74,54.02M
"Jul 31, 2019",213.04,216.42,221.37,211.3,69.28M
"Jul 30, 2019",208.78,208.76,210.16,207.31,33.94M
"Jul 29, 2019",209.68,208.46,210.64,208.44,21.67M
"Jul 26, 2019",207.74,207.48,209.73,207.14,17.62M
"Jul 25, 2019",207.02,208.89,209.24,206.73,13.91M
"Jul 24, 2019",208.67,207.67,209.15,207.17,14.99M
